,roles,companies,experience,locations,skills
334,CN - Strategy - MC - T&O - OA Data Scientist (Behavioral Science) - 09,Accenture,7-10 Years,Gurgaon / Gurugram,  Management Consulting
335,Data and Applied Scientist,Microsoft,7-10 Years,"Hyderabad / Secunderabad, India",  Management Consulting
336,Senor Data Science Engineer,Cognizant Technology Solutions India Pvt Ltd,Not Specified,Coimbatore,  Senor Data Science Engineer
337,Data and Applied Scientist - 2,Microsoft,4-7 Years,"Hyderabad / Secunderabad, India",  Senor Data Science Engineer
338,Senior Data and Applied Scientist,Microsoft,Not Specified,"Bengaluru / Bangalore, India",  Senor Data Science Engineer
339,Specialist Data Science,Angel Broking,2-7 Years,"Mumbai, India",  Specialist Data Science
340,Developer Analyst II,Wipro Limited,5-7 Years,Chennai,  Developer Analyst II
341,Business Analyst - Data Science,Genpact,Not Specified,Bengaluru / Bangalore,"  Business Analyst - Data Science , Corporate"
342,Practice Leader,Coforge,Not Specified,"Noida, India","  ASSET MANAGEMENT (FINANCE DOMAIN) , Power BI(D&A) , PL/SQL , Big Data , Python Programming"
343,SAS grid computing environment,ANI Calls India Private Limited,6-8 Years,"Bengaluru / Bangalore, India",  SAS grid computing environment
344,Python Programming Language Application Lead,Accenture,6-8 Years,Gurgaon / Gurugram,  Software Engineering
345,Business Analyst II,DELL,3-6 Years,Bengaluru / Bangalore,  Software Engineering
346,Business Analyst II,Vmware,3-6 Years,Bengaluru / Bangalore,  Software Engineering
347,Data Engineer II,Amazon,3-6 Years,Hyderabad / Secunderabad,  Software Engineering
348,Python Programming Language Application Lead,Accenture,8-10 Years,Gurgaon / Gurugram,  Software Engineering
349,Big Data Architect,IBM,Not Specified,Gurgaon / Gurugram,  Software Engineering
350,Data Engineer,Angel Broking,2-7 Years,"Mumbai, India",  Data Engineer
351,Sr. Data Manager - Clinical Data Sciences,Pfizer Asia Pacific Pte Ltd,Not Specified,"Chennai, India",  Data Engineer
352,Sr. Data Manager - Clinical Data Sciences,Pfizer Asia Pacific Pte Ltd,Not Specified,"Chennai, India",  Data Engineer
353,Sr. Business Intelligence Engineer,Amazon,10-13 Years,Bengaluru / Bangalore,  Data Engineer
354,Business Intelligence Engineer (DEL/BLR/MUM),Amazon,10-13 Years,Gurgaon / Gurugram,  Business Intelligence Engineer (DEL/BLR/MUM)
355,AI Machine Learning Architect,Lenovo India Private Limited,8-11 Years,"Bengaluru / Bangalore, India",  Business Intelligence Engineer (DEL/BLR/MUM)
356,Business Intelligence Unit-HO & SUPPORT-BIU (Business Intelligence Unit),Kotak Mahindra Bank Limited,6-8 Years,"Mumbai, India",  Business Intelligence Engineer (DEL/BLR/MUM)
357,Data Science Application Lead,Accenture,12-15 Years,Mumbai,  Software Engineering
358,TL-AI-ML PlatfrmArchitctDataStrat,The HDFC Bank Limited,15-16 Years,"Mumbai, India",  TL-AI-ML PlatfrmArchitctDataStrat
359,Data Engineer - Consumer Technology,Goldman Sachs Services Private Limited,6-9 Years,"Bengaluru / Bangalore, India",  TL-AI-ML PlatfrmArchitctDataStrat
360,Machine Learning Engineer,Standard Chartered,6-8 Years,India,  Machine Learning Engineer
361,Data Engineer - Consumer Lending,Goldman Sachs Services Private Limited,3-6 Years,"Bengaluru / Bangalore, India",  Machine Learning Engineer
362,Data Science,Accenture,15-18 Years,Hyderabad / Secunderabad,  Analytics and Insights
363,Data Engineer - Consumer Technology,Goldman Sachs Services Private Limited,3-6 Years,"Bengaluru / Bangalore, India",  Analytics and Insights
364,Data Engineer - Consumer Technology,Goldman Sachs Services Private Limited,3-6 Years,"Bengaluru / Bangalore, India",  Analytics and Insights
365,SAS grid computing environment,ANI Calls India Private Limited,6-8 Years,"Hyderabad / Secunderabad, India",  SAS grid computing environment
366,SAS grid computing,ANI Calls India Private Limited,6-8 Years,"Chennai, India",  SAS grid computing
367,SAS grid environment,ANI Calls India Private Limited,6-8 Years,"Mumbai, India",  SAS grid environment
368,SAS grid consultant,ANI Calls India Private Limited,6-8 Years,"Noida, India",  SAS grid consultant
369,Data Science for AI/Advance Analytic,Genpact,Not Specified,Hyderabad / Secunderabad,"  Data Science for AI/Advance Analytic , Corporate"
370,Associate (Data Science/Analytics) – 3-5yrs Exp – Bangalore – Salary As per Industry Standards,Angel & Genie,3-5 Years,Bengaluru / Bangalore,"  Data Science for AI/Advance Analytic , Corporate"
371,Senior Data Engineer,Amazon,5-8 Years,Hyderabad / Secunderabad,"  Data Science for AI/Advance Analytic , Corporate"
372,"ES Tech, Data Engineer",Amazon,3-6 Years,Bengaluru / Bangalore,"  ES Tech , Data Engineer"
373,Machine Learning Application Developer,Accenture,8-10 Years,Bengaluru / Bangalore,  Software Engineering
374,Recruiting Data Engineering Lead,Accenture,Not Specified,India,  Analytics and Insights
375,Machine Learning Engineer,Standard Chartered,6-8 Years,"Bengaluru / Bangalore, India",  Machine Learning Engineer
376,Machine Learning Application Developer,Accenture,6-8 Years,Bengaluru / Bangalore,  Software Engineering
377,Data Manager - Clinical Data Sciences,Pfizer Asia Pacific Pte Ltd,4-7 Years,"Chennai, India",  Software Engineering
378,"Solution Architect,Smart MFG & AI",Micron,5-8 Years,Hyderabad / Secunderabad,"  Architecture , Developer , Computer Science , Technology , Engineering , Solution Architect"
379,Data Engineer - Analytics,Standard Chartered,Not Specified,"Bengaluru / Bangalore, India",  Data Engineer - Analytics
380,Data Engineer - Analytics,Standard Chartered,Not Specified,India,  Data Engineer - Analytics
381,Customer Success Account Manager - Global Enterprise Accounts,Microsoft,5-8 Years,India,  Data Engineer - Analytics
382,Assistant Manager - Data Science,Genpact,Not Specified,Bengaluru / Bangalore,"  Assistant Manager - Data Science , Operations"
383,ui ux dev,Randstad,8-11 Years,Chennai,  ui ux dev
384,FIF Market Making PM,Barclays,10-13 Years,"Pune, India",  FIF Market Making PM
385,Software Engineer,CareerXperts Consulting,4-7 Years,Bengaluru / Bangalore,"  Backend , Analytical , Consulting , Unix , Ubuntu , C++ , Git , Debugging , Machine Learning"
386,Manager - Data Science,Genpact,Not Specified,Bengaluru / Bangalore,"  Manager - Data Science , Operations"
387,Risk - Corporate Risk - Wholesale Credit Solutions - Data Science - Associate,JP Morgan Chase & Co.,4-7 Years,Mumbai,"  Risk , Corporate Risk , Wholesale Credit Solutions , Associate , Credit Risk , Data Science"
388,Python Programming Language Application Support Engineer,Accenture,6-8 Years,Bengaluru / Bangalore,  Software Engineering
389,Hiring BPO solutions Leader For Leading German based Firm !!,Rivera Manpower Services,4-7 Years,"Pune, India",  Hiring BPO solutions Leader For Leading German based Firm !!
390,Data Engineer: Big Data,IBM,7-9 Years,Bengaluru / Bangalore,  Data Engineer: Big Data
391,Cloud Solution Architect - Infrastructure,Microsoft,Not Specified,"Bengaluru / Bangalore, India",  Data Engineer: Big Data
392,Risk- Consumer&Community Banking - Quantitative Modeling - Associate,JP Morgan Chase & Co.,3-6 Years,Bengaluru / Bangalore,  Risk- Consumer&Community Banking - Quantitative Modeling - Associate
393,Senior Manager - Data Science,Genpact,Not Specified,Bengaluru / Bangalore,"  Senior Manager - Data Science , Operations"
394,Data engineer,Amazon,7-10 Years,Bengaluru / Bangalore,"  Senior Manager - Data Science , Operations"
